,ticker,open,high,low,close,volume,value
2022-02-20 09:00:00,KRW-NEO,30590.0,32260.0,27820.0,28330.0,3436166.78070317,104598052448.55385
2022-02-21 09:00:00,KRW-NEO,28330.0,29560.0,24530.0,24760.0,2330242.95046583,64066477310.51293
2022-02-22 09:00:00,KRW-NEO,24760.0,25270.0,23620.0,25020.0,947621.90286369,23241229600.81827
2022-02-23 09:00:00,KRW-NEO,25040.0,25530.0,23690.0,23890.0,907149.6603737,22527063340.828495
2022-02-24 09:00:00,KRW-NEO,23890.0,26320.0,21160.0,26150.0,1735763.08534478,40905515016.66808
2022-02-25 09:00:00,KRW-NEO,26150.0,26590.0,24310.0,26500.0,1653035.98331801,42371030130.70892
2022-02-26 09:00:00,KRW-NEO,26480.0,26960.0,25330.0,25690.0,840576.21367999,21832805792.539867
2022-02-27 09:00:00,KRW-NEO,25690.0,25900.0,24020.0,24510.0,655972.34895066,16393575175.967646
2022-02-28 09:00:00,KRW-NEO,24510.0,27970.0,24000.0,27790.0,1095830.83450269,28114175685.611683
2022-03-01 09:00:00,KRW-NEO,27810.0,31000.0,27800.0,29380.0,2815245.4920877,83132949879.76125
2022-03-02 09:00:00,KRW-NEO,29380.0,29800.0,28260.0,29170.0,738904.92175769,21520286350.15016
